医保统一编码,收费编码,父项目名称,子项目医保编码,子项目收费编码,子项目名称
001204000020000-120400002,F00000007154,静脉注射,001204000020000-120400002,F00000000549,静脉采血
001204000040000-120400004,F00000000250,动脉加压注射,001204000040000-120400004,F00000005851,动脉采血
001204000010000-120400001,F00000000438,肌肉注射,001204000010000-120400001;001204000010000-120400001,F00000060427;F00000060428,皮下注射;皮内注射
001203000010000-120300001,F00000084609,氧气吸入,001203000010100-120300001b;001203000010200-120300001a;001203000010000-120300001,F00000006847;F00000003114;F00000084609,低流量吸氧;中心吸氧;氧气创面治疗
001204000110000-120400011,F00000001079,中心静脉穿刺置管术,001204000110000-120400011,F00000000756,深静脉穿刺置管术
001201000010000-120100001,F00000001096,重症监护,001201000130000-120100013,F00000000248,动静脉置管护理
001201000020000-120100002,F00000000808,特级护理,001201000130000-120100013;001201000140000-120100014;011303000020000;011303000030000,F00000000248;F00000000577;F00000191567;F00000191568,动静脉置管护理;口腔护理;会阴护理;肛周护理
001201000030000-120100003,F00000000096,Ⅰ级护理,001201000130000-120100013;001201000140000-120100014;011303000020000;011303000030000,F00000000248;F00000000577;F00000191567;F00000191568,动静脉置管护理;口腔护理;会阴护理;肛周护理
003107020020000-310702002,F00000001180,持续有创性血压监测,003107010220000-310701022,F00000043607,心电监测
003205000120000-320500012,F00000003917,经皮激光心肌血管重建术(PMR),003205000010000-320500001,F00000000396,冠状动脉造影术
003205000130000-320500013,F00000003626,冠状动脉内超声溶栓术,003205000010000-320500001,F00000000396,冠状动脉造影术
003205000110000-320500011,F00000003913,经皮冠状动脉内溶栓术,003205000010000-320500001,F00000000396,冠状动脉造影术
003205000140000-320500014,F00000000392,冠脉内局部放射治疗术,003205000010000-320500001,F00000000396,冠状动脉造影术
003205000150000-320500015,F00000000393,冠脉内局部药物释放治疗术,003205000010000-320500001,F00000000396,冠状动脉造影术
003205000030000-320500003,F00000007210,经皮冠状动脉内支架置入术(STENT),003202000090000-320200009,F00000000514,经皮动脉内球囊扩张术
003205000030000-320500003,F00000007210,经皮冠状动脉内支架置入术(STENT),003205000020000-320500002,F00000003915,经皮冠状动脉腔内成形术(PTCA)
003113000030000-311300003,F00000000387,关节腔灌注治疗,003113000020000-311300002,F00000000383,关节穿刺术
003310050130000-331005013,F00000003480,肝部分切除术,003310050020000-331005002;003310050130000-331005013,F00000004026;F00000071069,开腹肝活检术;肝段切除术
003310040110000-331004011,F00000003835,经腹会阴直肠癌根治术(Miles手术),003310030170000-331003017,F00000003801,结肠造瘘(Colostomy)术
003311010100000-331101010,F00000003534,根治性肾切除术,003303000210000-330300021,F00000004493,肾上腺切除术
003310030040000-331003004,F00000003272,肠回转不良矫治术(Lodd.s'术),003310030220000-331003022,F00000004085,阑尾切除术
003311030090000-331103009,F00000003708,回肠膀胱术,003310030220000-331003022,F00000004085,阑尾切除术
003311030100000-331103010,F00000004045,可控性回肠膀胱术,003310030220000-331003022,F00000004085,阑尾切除术
003313010060000-331301006,F00000004141,卵巢癌根治术,003310030220000-331003022;003309000060000-330900006;003313030150000-331303015,F00000004085;F00000003842;F00000004362,阑尾切除术;经腹腔镜盆腔淋巴结清扫术;全子宫+双附件切除术
003313030190000-331303019,F00000005059,子宫整形术,003313030190000-331303019;003313030190000-331303019;003313030190000-331303019;003313030190000-331303019,F00000097289;F00000097290;F00000097291;F00000097292,子宫纵隔切除术;残角子宫切除术;畸形子宫矫治术;双角子宫融合术
003313050040000-331305004,F00000004646,外阴脓肿切开引流术,003313050040000-331305004,F00000039890,外阴血肿切开引流术
003312020050000-331202005,F00000003510,高位隐睾下降固定术,003310080010000-331008001,F00000003459,腹股沟疝修补术
003315010300000-331501030,F00000004801,胸椎腰椎前路内固定术,003302040010000-330204001;003315010220000-331501022,F00000003735;F00000003996,脊髓和神经根粘连松解术;颈椎钩椎关节切除术
003315010520000-331501052,F00000003750,脊柱椎间融合器植入植骨融合术,003302040010000-330204001;003315010360000-331501036,F00000003735;F00000005047,脊髓和神经根粘连松解术;椎管扩大减压术
003310060150000-331006015,F00000003884,经内镜奥狄氏括约肌切开取石术(ECT),003310060130000-331006013,F00000003931,经十二指肠镜乳头扩张术
003313030050000-331303005,F00000003553,宫颈环形电切术,003313030040000-331303004,F00000003556,宫颈锥形切除术
003106050060000-310605006,F00000001338,经纤支镜下肺泡灌洗诊疗术,XB05XAL211B002090902180,Y00000011332,0.9%氯化钠注射液（塑料瓶）冲洗用
003110000100000-311000010,F00000003141,血液灌流,003110000060000-311000006,F00000003143,血液透析
